TmID;FullName;BirthDate;BirthPlace;Height;TrainerLicense;PreferredFormation;NumGames
176;Martin O`Neill;1952-03-01;Kilrea;;UEFA Pro Licence;4-2-3-1;0
179;Morten Olsen;1949-08-14;Vordingborg;;UEFA Pro Licence;;0
181;Holger Osieck;1948-08-31;Homberg;;;;0
183;Peter Pacult;1959-10-28;Wien;;UEFA Pro Licence;;0
184;Frank Pagelsdorf;1958-02-05;Hannover;;Head coach;;0
185;Ingo Peter;1951-10-23;Dortmund;;;;0
190;Joachim Philipkowski;1961-02-26;Mragowo;;;3-4-3;0
196;Ralf Rangnick;1958-06-29;Backnang;;Head coach;4-4-2 double 6;0
197;Uwe Rapolder;1958-05-29;Hausen an der Zaber;;Head coach;;0
201;Otto Rehhagel;1938-08-09;Essen;;Head coach;?;184
203;Willi Reimann;1949-12-24;Rheine;;Head coach;;0
206;Aleksandar Ristic;1944-06-28;Sarajevo;;UEFA Pro Licence;;0
207;Jürgen Röber;1953-12-25;Gernrode;;;;0
208;Bryan Robson;1957-01-11;Chester-le-Street;;UEFA Pro Licence;;0
210;Wolfgang Rolff;1959-12-26;Lamstedt;;Head coach;;0
213;Guy Roux;1938-10-18;Colmar;;Head coach;;0
219;Matthias Sammer;1967-09-05;Dresden;;Head coach;;0
224;Thomas Schaaf;1961-04-30;Mannheim;;Head coach;;0
225;Gerd Schädlich;1952-12-30;Rodewisch;;Head coach;;0
232;Gerd-Volker Schock;1950-04-08;Bad Schwartau;;Licence trainer;;0
235;Toni Schumacher;1954-03-06;Düren;;;;0
239;Günter Sebert;1948-05-29;Mannheim;;;;0
243;Bernd Stange;1948-03-14;Gnaschwitz;;;4-2-3-1;0
246;Dragoslav Stepanovic;1948-08-30;Rekovac;;;;0
252;Franz-Josef Tenhagen;1952-10-31;Rees;;;;0
253;Fatih Terim;1953-09-04;Adana;;UEFA Pro Licence;4-1-4-1;0
258;Jean Tigana;1955-06-23;Bamako;;UEFA Pro Licence;;0
261;Klaus Toppmöller;1951-08-12;Rivenich (Mosel);;Head coach;;0
262;Giovanni Trapattoni;1939-03-17;Cusano Milanino;;;;0
269;Armin Veh;1961-02-01;Augsburg;;Head coach;;0
271;Eberhard Vogel;1943-04-08;Frankenberg;;;;0
272;Berti Vogts;1946-12-30;Büttgen;;;;0
273;Peter Vollmann;1957-12-22;Marienheide;;Head coach;;0
275;Mirko Votava;1956-04-25;Prag;;Head coach;;0
277;Georgi Vasilev;1946-08-09;Bobov Dol;;;;0
279;Dietrich Weise;1934-11-21;Gröben;;;?;252
280;Arsène Wenger;1949-10-22;Straßburg;;UEFA Pro Licence;;0
285;Wolfgang Wolf;1957-09-24;Grünstadt;;Head coach;4-2-3-1;0
286;Claus-Dieter Wollitz;1965-07-19;Brakel;;Head coach;4-2-3-1;0
296;Rainer Zobel;1948-11-03;Wrestedt;;;3-5-2;0
300;Huub Stevens;1953-11-29;Sittard;;Head coach;3-5-2 flat;0
301;Eric Gerets;1954-05-18;Rekem;;UEFA Pro Licence;;0
302;Hans Meyer;1942-11-03;Briesen;;;;0
303;Uwe Reinders;1955-01-19;Essen;;;;0
304;Walter Pradt;1949-04-12;Wiesbaden;;;;0
305;Frank Wormuth;1960-09-13;Berlin;;Head coach;4-3-3 Defending;0
306;Dieter Hecking;1964-09-12;Castrop-Rauxel;;Head coach;4-3-3 Attacking;0
307;Paul Linz;1956-01-04;Trier;;;;0
309;Djuradj Vasic;1956-09-19;Stari Lec;;Head coach;;0
314;Jörg Nehren;1957-01-24;;;;;0
315;Willi Ertz;1943-05-28;Neunkirchen;;;;0
316;Horst Ehrmantraut;1955-12-11;Homburg;;Head coach;;0
317;Stanislav Levy;1958-05-02;Prag;;UEFA Pro Licence;;0
320;Petar Hubchev;1964-02-26;Glozhene;;;4-2-3-1;0
321;Ernst Middendorp;1958-10-28;Freren;;Head coach;4-2-3-1;0
323;Michael Feichtenbeiner;1960-07-09;Stuttgart;;UEFA Pro Licence;4-2-3-1;0
324;Alois Schwartz;1967-03-28;Nürtingen;;Head coach;4-4-2 double 6;0
325;Ramon Berndroth;1952-03-24;Mainz;;Head coach;;0
326;Michael Dämgen;1961-04-06;Dickenschied;;;;0
327;Wolfgang Frank;1951-02-21;Reichenbach an der Fils;;;;0
328;Heribert Deutinger;1947-02-13;München;;;;0
334;Marcus Sorg;1965-12-24;Ulm;;Head coach;;0
335;Thomas Letsch;1968-08-26;Esslingen am Neckar;;UEFA Pro Licence;4-3-3 Attacking;0
337;Hans Werner Moser;1965-09-24;Kusel;;Head coach;4-2-3-1;0
338;Alfred Schön;1962-01-13;Wiesloch;;;;0
340;Stefan Böger;1966-06-01;Erfurt;;Head coach;;0
342;Harry Pleß;1958-04-25;Fürstenberg/ Havel;;Head coach;;0
347;Christoph Franke;1944-12-20;Mülsen St. Jacob;;Head coach;;0
348;Meinhard Hemp;1942-12-10;Allenau;;;;0
349;Holger Erler;1950-03-21;Hohndorf;;;;0
350;Thomas Hörster;1956-11-27;Essen;;;;0
356;Wolfgang Maes;1951-12-20;;;;;0
357;Armin Reutershahn;1960-03-01;Duisburg;;Head coach;;0
358;Manfred Linzmaier;1962-08-27;Kufstein;;UEFA Pro Licence;;0
359;Michael Henke;1957-04-27;Büren;;Head coach;;0
360;Frank Heinemann;1965-01-08;Bochum;;Head coach;4-2-3-1;0
364;Karl-Heinz Emig;1962-06-29;Mannheim;;Licence trainer;;0
365;Uwe Neuhaus;1959-11-26;Hattingen;;Head coach;4-3-3 Attacking;0
370;Hans-Jürgen Gede;1956-11-14;Gelsenkirchen;;UEFA Pro Licence;;0
377;Reinhard Stumpf;1961-11-26;Lieblos;;;;0
378;Reiner Maurer;1960-02-16;Mindelheim;;Head coach;4-2-3-1;0
383;Thomas Doll;1966-04-09;Malchin;;Head coach;4-2-3-1;0
386;Jan Kocian;1958-03-13;Zlaté Moravce;;UEFA Pro Licence;4-1-4-1;0
396;Christoph John;1958-12-24;Heidenheim an der Brenz;;;;0
401;Reinhold Fanz;1954-01-16;Mannheim;;Head coach;;0
402;Regi Van Acker;1955-04-25;Beveren;;UEFA Pro Licence;3-4-2-1;0
416;Hans-Jürgen Boysen;1957-05-30;Mannheim;;;4-2-3-1;0
419;Pavel Dotchev;1965-09-28;Sofia;;Head coach;4-2-3-1;0
420;Frank Geideck;1967-04-02;Bielefeld;;Head coach;;0
422;Jörn Andersen;1963-02-03;Fredrikstad;;UEFA Pro Licence;4-3-3 Attacking;0
423;Dirk Bremser;1965-10-01;Bochum;;;;0
425;Frank Engel;1951-02-15;Leipzig;;Licence trainer;;0
428;Heiko Scholz;1966-01-07;Görlitz;;Head coach;4-4-2 double 6;0
429;Hermann Andreev;1966-01-28;Zapolyarny, Murmansk Oblast;;UEFA Pro Licence;3-5-2 flat;0
430;Marc Wilmots;1969-02-22;Dongelberg;;Head coach;4-4-2 double 6;0
431;Gerd Schwickert;1949-08-14;;;;;0
434;José Morais;1965-07-27;Lissabon;;UEFA Pro Licence;4-1-4-1;0
435;Hans-Werner Moors;1950-07-24;Düsseldorf;;;;0
437;Jürgen Press;1965-10-31;Ingolstadt;;Head coach;;0
439;Ronald Koeman;1963-03-21;Zaandam;;UEFA Pro Licence;4-3-3 Defending;0
440;Klaus Scheer;1950-10-04;Siegen;;;;0
442;Olaf Janßen;1966-10-08;Krefeld;;Head coach;;0
443;Dieter Lieberwirth;1954-01-13;Fürth;;;;0
445;Sam Allardyce;1954-10-19;Dudley;;UEFA Pro Licence;;0
446;David O`Leary;1958-05-02;Stoke Newington;;UEFA Pro Licence;;0
447;Steve Bruce;1960-12-31;Corbridge;;UEFA Pro Licence;5-4-1;0
448;Harry Redknapp;1947-03-02;London;;UEFA Pro Licence;;0
449;Graeme Souness;1953-05-06;Edinburgh;;UEFA Pro Licence;;0
450;David Moyes;1963-04-25;Glasgow;;UEFA Pro Licence;4-2-3-1;0
451;Chris Coleman;1970-06-10;Swansea;;UEFA Pro Licence;4-4-2 double 6;0
453;Kevin Keegan;1951-02-14;Armthorpe;;UEFA Pro Licence;;0
454;Peter Reid;1956-06-20;Huyton;;UEFA Pro Licence;;0
455;Gordon Strachan;1957-02-09;Edinburgh;;UEFA Pro Licence;;0
456;Claudio Ranieri;1951-10-20;Roma;;Licence trainer;4-2-3-1;0
457;Micky Adams;1961-11-08;Sheffield;;UEFA Pro Licence;;0
458;Steve McClaren;1961-05-03;Fulford;;UEFA Pro Licence;4-2-3-1;0
459;Glenn Hoddle;1957-10-27;Hayes, Hillingdon;;UEFA Pro Licence;;0
460;Gérard Houllier;1947-09-03;Thérouanne;;;;0
461;Sir Bobby Robson;1933-02-18;Sacriston;;UEFA Pro Licence;;0
462;Dave Jones;1956-08-17;Liverpool;;;;0
463;Krasimir Balakov;1966-03-29;Weliko Tarnowo;;Licence trainer;4-1-4-1;0
472;Peter Zeidler;1962-08-08;Schwäbisch Gmünd;;UEFA Pro Licence;4-3-3 Attacking;0
474;Rainer Widmayer;1967-04-02;Sindelfingen;;Head coach;;0
476;Roland Seitz;1964-10-01;Neumarkt in der Oberpfalz;;Head coach;4-3-3 Attacking;0
477;Ludwig Preis;1971-11-11;Passau;;A Licence;;0
478;Sven Köhler;1966-02-24;Freiberg;;Head coach;4-2-3-1;0
479;Peter Kunkel;1956-02-10;Essen;;A Licence;;0
480;Markus Gellhaus;1970-06-09;Detmold;;Head coach;;0
482;Jürgen Raab;1958-12-20;Zeulenroda;;;4-2-3-1;0
483;Nico Quade;1974-12-06;Meiningen;;;;0
485;Dirk Barsikow;1962-10-01;Friedland;;Licence trainer;;0
487;Georg Kreß;1962-11-12;;;Head coach;;0
489;Thomas Richter;1962-02-27;Castrop-Rauxel;;A Licence;;0
495;Joachim Löw;1960-02-03;Schönau im Schwarzwald;;Head coach;4-2-3-1;0
496;Mark Wotte;1960-12-16;Enschede;;UEFA Pro Licence;4-1-4-1;0
497;Mike Snoei;1963-12-04;Rotterdam;;UEFA Pro Licence;4-3-3 Defending;0
498;Foppe de Haan;1943-06-26;Lippenhuizen;;Head coach;;0
499;Wiljan Vloet;1962-09-10;Schijndel;;;;0
500;Martin Jol;1956-01-16;Den Haag;;UEFA Pro Licence;;0
501;Co Adriaanse;1947-07-21;Amsterdam;;;;0
502;Bert van Marwijk;1952-05-19;Deventer;;UEFA Pro Licence;4-4-2 double 6;0
505;Robert Maaskant;1969-01-10;Schiedam;;UEFA Pro Licence;4-3-3 Attacking;0
506;Guus Hiddink;1946-11-08;Varsseveld;;UEFA Pro Licence;4-2-3-1;0
509;Henk Wisman;1957-05-19;Amsterdam;;UEFA Pro Licence;4-3-3 Defending;0
510;Foeke Booy;1962-04-25;Leeuwarden;;;;0
512;Ron Jans;1958-09-29;Zwolle;;;4-3-3 Defending;0
513;Leonardo Menichini;1953-12-11;Ponsacco;;UEFA A Licence;4-3-3 Attacking;0
514;Giuseppe Papadopulo;1948-02-02;Casale Marittimo;;;;0
515;Walter Novellino;1953-06-04;Montemarano;;;3-5-2 flat;0
516;Delio Rossi;1960-01-26;Rimini;;;4-3-1-2;0
517;Luciano Spalletti;1959-03-07;Certaldo;;Head coach;4-2-3-1;0
518;Fabio Capello;1946-06-18;Pieris;;UEFA Pro Licence;;0
519;Franco Colomba;1955-02-06;Grosseto;;;;0
520;Serse Cosmi;1958-05-05;Perugia;;Licence trainer;3-5-2 flat;0
521;Cesare Prandelli;1957-08-19;Orzinuovi;;UEFA Pro Licence;3-5-2 flat;0
522;Alberto Malesani;1954-06-05;Verona;;;;0
523;Carlo Ancelotti;1959-06-10;Reggiolo;;UEFA Pro Licence;4-4-2;0
524;Roberto Mancini;1964-11-27;Jesi;;UEFA Pro Licence;4-3-3 Attacking;0
525;Marcello Lippi;1948-04-12;Viareggio;;UEFA Pro Licence;4-3-3 Attacking;0
526;Héctor Cúper;1955-11-16;Chabás;;;4-1-4-1;0
527;Silvio Baldini;1958-09-11;Massa;;;4-2-3-1;0
528;Luigi Delneri;1950-08-23;Aquileia;;;;0
529;Giovanni De Biasi;1956-06-16;Sarmede;;UEFA Pro Licence;;0
530;Francesco Guidolin;1955-10-03;Castelfranco Veneto;;;;0
531;Marcel Koller;1960-11-11;Zürich;;UEFA Pro Licence;4-2-3-1;0
532;Christian Gross;1954-08-14;Zürich;;UEFA Pro Licence;4-2-3-1;0
533;Claude Ryf;1957-03-18;Lausanne;;UEFA Pro Licence;4-2-3-1;0
534;Hans-Peter Zaugg;1952-12-02;Bern;;;;0
535;Lucien Favre;1957-11-02;Saint-Barthélemy;;Licence trainer;4-2-3-1;0
536;Marco Schällibaum;1962-04-06;Zürich;;Licence trainer;;0
537;Hanspeter Latour;1947-06-04;Thun;;;;0
538;Alain Geiger;1960-11-05;Uvrier;;;4-2-3-1;0
539;Heinz Peischl;1963-12-09;Ollersdorf;;UEFA Pro Licence;;0
540;Georg Zellhofer;1960-08-25;Waidhofen/Ybbs;;UEFA Pro Licence;;0
541;Lars Söndergaard;1959-04-05;;;UEFA Pro Licence;;0
543;Rashid Rakhimov;1965-03-18;Dushanbe;;UEFA Pro Licence;3-4-2-1;0
544;Gilbert Gress;1941-12-17;Straßburg;;;;0
545;Werner Gregoritsch;1958-03-22;Graz;;UEFA Pro Licence;4-2-3-1;0
549;Walter Schachner;1957-02-01;Leoben;;UEFA Pro Licence;;0
550;Heinz Hochhauser;1947-02-06;Wels;;UEFA Pro Licence;;0
551;Hristo Stoichkov;1966-02-08;Plovdiv;;;;0
552;Carlos Queiroz;1953-03-01;Nampula;;;4-3-3 Attacking;0
553;Johan Cruyff;1947-04-25;Amsterdam;;UEFA Pro Licence;;0
554;Michael Laudrup;1964-06-15;Frederiksberg;;Licence trainer;;0
555;Bernd Schuster;1959-12-22;Augsburg;;UEFA Pro Licence;4-2-3-1;0
556;Allan Simonsen;1952-12-15;Vejle;;;;0
557;Maurizio Jacobacci;1963-01-11;Bern;;UEFA Pro Licence;4-1-4-1;0
558;Urs Schönenberger;1959-02-21;Zürich;;;;0
560;Holger Fach;1962-09-06;Wuppertal;;Head coach;;0
561;Manfred Stefes;1967-03-28;Korschenbroich;;Head coach;;0
569;Ralf Minge;1960-10-08;Elsterwerda;;Head coach;;0
570;Frank Rijkaard;1962-09-30;Amsterdam;;;;0
573;Henk ten Cate;1954-12-09;Amsterdam;;;4-1-4-1;0
576;Hagen Reeck;1959-09-06;Wolfen;;Head coach;;0
577;Petrik Sander;1960-11-17;Quedlinburg;;Head coach;4-2-3-1;0
580;Yuri Semin;1947-05-11;Orenburg;;UEFA Pro Licence;4-2-3-1;0
583;Asif Saric;1965-01-15;Tuzla;;Head coach;4-4-2 double 6;0
584;Detlef Ullrich;1955-11-28;;;Head coach;;0
585;Thomas Hoßmang;1966-11-27;Hoyerswerda;;Head coach;4-3-3 Attacking;0
586;Andreas Bergmann;1959-06-18;Steinfeld;;Head coach;;0
588;Bruno Labbadia;1966-02-08;Darmstadt;;Head coach;4-3-3 Attacking;0
589;Oliver Reck;1965-02-27;Frankfurt am Main;;Head coach;4-4-2 Diamond;0
592;Age Hareide;1953-09-23;Hareid;;UEFA Pro Licence;4-2-3-1;0
594;Juri Schlünz;1961-07-27;Berlin;;;;0
598;Sir Trevor Brooking;1948-10-02;London;;;;0
599;Mick McCarthy;1959-02-07;Barnsley;;UEFA Pro Licence;4-2-3-1;0
600;Gary Megson;1959-05-02;Manchester;;UEFA Pro Licence;;0
601;Gary McAllister;1964-12-25;Motherwell;;UEFA Pro Licence;;0
602;Joe Royle;1949-04-08;Liverpool;;UEFA Pro Licence;;0
603;George Burley;1956-06-03;Cumnock;;UEFA Pro Licence;;0
604;Paul Hart;1953-05-04;Golborne;;;;0
605;Nigel Worthington;1961-11-04;Ballymena;;UEFA Pro Licence;;0
606;Stan Ternent;1946-06-16;Gateshead;;;;0
607;Chris Turner;1958-09-15;Sheffield;;;;0
608;Paul Jewell;1964-09-28;Liverpool;;UEFA Pro Licence;;0
609;Nicky Law;1961-09-08;Greenwich;;UEFA Pro Licence;;0
610;Dario Gradi;1941-07-08;Mailand;;UEFA Pro Licence;;0
611;Steve Kember;1948-12-08;Croydon;;;;0
613;Dennis Wise;1966-12-16;London;;;;0
614;Craig Brown;1940-07-01;Hamilton;;;;0
615;Kevin Dillon;1959-12-18;Sunderland;;UEFA Pro Licence;;0
616;Ronnie Moore;1953-04-29;Liverpool;;UEFA Pro Licence;;0
617;Tony Pulis;1958-01-16;Newport;;;4-2-3-1;0
618;Colin Lee;1956-06-12;Torquay;;UEFA Pro Licence;;0
619;Ray Lewington;1956-09-07;London;;;;0
620;Stuart Murdoch;1955-09-02;;;;;0
621;Manuel Cajuda;1951-07-27;Olhão;;UEFA Pro Licence;3-5-2 flat;0
623;Gregorio Manzano;1956-03-11;Baílen;;UEFA Pro Licence;;0
624;Luis Aragonés;1938-07-28;Madrid;;;;0
625;Craig Levein;1964-10-22;Dunfermline;;UEFA Pro Licence;4-4-2 double 6;0
626;Peter Houston;1958-07-19;Baillieston;;UEFA Pro Licence;;0
628;Alberto Zaccheroni;1953-04-01;Meldola;;UEFA Pro Licence;4-2-3-1;0
629;Itzhak Shum;1948-09-01;Chişinău;;;;0
630;Miguel Ángel Lotina;1957-06-18;Meñaka;;UEFA Pro Licence;4-4-2 double 6;0
631;Robert Waseige;1939-08-26;Rocourt;;;;0
632;Frantisek Straka;1958-05-28;Ceske Budejovice;;UEFA Pro Licence;4-2-3-1;0
634;Attilio Perotti;1946-03-03;Bagnolo Mella;;;;0
635;Marc Fascher;1968-08-04;Hamburg;;Head coach;;0
636;Dietmar Constantini;1955-05-30;Innsbruck;;UEFA Pro Licence;;0
641;Víctor Fernández;1960-10-28;Zaragoza;;UEFA Pro Licence;4-4-1-1;0
642;Alain Giresse;1952-09-02;Langoiran;;;4-2-3-1;0
643;Viktor Olscha;1958-07-07;;;;;0
645;Alex McLeish;1959-01-21;Barrhead;;UEFA Pro Licence;4-2-3-1;0
650;Terry Butcher;1958-12-28;Singapur;;UEFA Pro Licence;;0
651;Maurice Malpas;1962-08-03;Dunfermline;;UEFA A Licence;;0
652;Jim Duffy;1959-04-27;Glasgow;;UEFA Pro Licence;4-4-2 double 6;0
654;Ian McCall;1965-09-30;Dumfries;;;4-4-2 double 6;0
657;Jimmy Calderwood;1955-02-28;Govan, Glasgow;;UEFA Pro Licence;;0
658;Jimmy Nicholl;1956-02-28;Hamilton (Ontario);;UEFA Pro Licence;;0
660;Bobby Williamson;1961-08-13;Glasgow;;UEFA Pro Licence;;0
663;Jim Jefferies;1950-11-22;Wallyford;;Head coach;;0
665;Steve Paterson;1958-04-08;Mosstodloch;;;;0
669;Ralf Zumdick;1958-05-10;Münster;;UEFA Pro Licence;;0
670;Edmund Stöhr;1956-09-17;Kösching;;UEFA Pro Licence;;0
671;Josip Skoblar;1941-03-12;Privlaka;;;;0
672;Egon Coordes;1944-07-13;Wesermünde;;Head coach;;0
674;Holger Hieronymus;1959-02-22;Hamburg;;;;0
675;Michael Krüger;1954-05-28;Lüneburg;;Head coach;;0
676;Steve Coppell;1955-07-09;Liverpool;;UEFA Pro Licence;4-2-3-1;0
677;Markus Schupp;1966-01-07;Idar-Oberstein;;Licence trainer;;0
678;Mats Jingblad;1958-08-09;Halmstad;;;;0
680;Rudi Völler;1960-04-13;Hanau;;;;0
681;Michael Skibbe;1965-08-04;Gelsenkirchen;;Head coach;4-2-3-1;0
684;Jos Luhukay;1963-06-13;Venlo;;Head coach;4-1-4-1;0
689;Winfried Schäfer;1950-01-10;Mayen;;UEFA Pro Licence;4-2-3-1;0
692;Andreas Thom;1965-09-07;Rüdersdorf;;A Licence;;0
693;Nevio Scala;1947-11-22;Lozzo Atestino;;;;0
697;Mirko Slomka;1967-09-12;Hildesheim;;Head coach;4-3-3 Attacking;0
698;Wolfgang Funkel;1958-08-10;Neuss;;;;0
700;Herman Vermeulen;1954-11-10;Tense;;;;0
703;Tony Adams;1966-10-10;London;;UEFA Pro Licence;;0
705;Thomas Kost;1969-05-13;;;;;0
706;Hugo Broos;1952-04-10;Humbeek;;UEFA Pro Licence;4-2-3-1;0
707;Frank Vercauteren;1956-10-28;Molenbeek-Saint-Jean;;UEFA Pro Licence;4-3-3 Defending;0
711;Dominique D`Onofrio;1953-04-18;Castelforte;;;;0
712;Herman Helleputte;1954-03-22;;;;;0
713;Edy De Bolle;1949-09-26;Sint-Agatha-Berchem;;;;0
714;Ariel Jacobs;1953-07-25;Vilvoorde;;;;0
718;Sef Vergoossen;1947-05-08;Echt;;;;0
719;Jos Daerden;1954-11-26;s ́Herenelderen;;;;0
724;Rainer Hörgl;1957-03-05;Neukirchen am Teisenberg;;;;0
729;Diethelm Ferner;1941-07-13;Kragau;;;?;95
734;Werner Mörsdorf;1956-08-12;;;;;0
742;Gerd Warken;1951-03-05;;;;;0
745;Edmund Becker;1956-07-18;Reichenbach;;Head coach;;0
748;Gerd Dais;1963-08-11;Heidelberg;;Head coach;;0
751;Bernd Erdmann;1942-10-23;;;;;0
774;Tino Vogel;1969-05-30;Pößneck;;Head coach;;0
775;Maik Walpurgis;1973-10-09;Herford;;Head coach;5-4-1;0
780;José Antonio Camacho;1955-06-08;Cieza;;UEFA Pro Licence;4-2-3-1;0
781;José Mourinho;1963-01-26;Setúbal;;UEFA Pro Licence;4-2-3-1;0
782;Fernando Santos;1954-10-10;Lissabon;;Licence trainer;4-3-3 Attacking;0
783;Erdogan Arica;1954-07-24;Ordu;;UEFA Pro Licence;;0
784;Mesut Bakkal;1964-03-19;Kirikkale;;UEFA Pro Licence;4-2-3-1;0
788;Giray Bulak;1958-03-09;Trabzon;;UEFA Pro Licence;4-2-3-1;0
789;Riza Calimbay;1963-02-02;Sivas;;Licence trainer;4-1-4-1;0
795;Ziya Dogan;1961-01-01;Gümüshane;;UEFA Pro Licence;4-2-3-1;0
796;Müfit Erkasap;1957-06-11;Sanliurfa;;UEFA A Licence;;0
801;Hikmet Karaman;1960-03-09;Giresun;;Licence trainer;4-2-3-1;0
802;Ümit Kayihan;1954-02-28;Izmir;;UEFA Pro Licence;;0
804;Güvenc Kurtar;1950-07-25;Usak;;UEFA Pro Licence;;0
805;Mircea Lucescu;1945-07-29;Bukarest;;UEFA Pro Licence;4-2-3-1;0
807;Turgay Semercioglu;1954-02-25;Trabzon;;UEFA Pro Licence;;0
810;Yilmaz Vural;1953-01-01;Sakarya;;UEFA Pro Licence;4-2-3-1;0
811;Ersun Yanal;1961-12-17;Izmir;;UEFA Pro Licence;4-2-3-1;0
814;Sakip Özberk;1945-05-01;Gaziantep;;UEFA Pro Licence;;0
818;Eusebio;1964-04-13;La Seca;;Licence trainer;3-4-2-1;0
822;Juan Carlos Unzué;1967-04-22;Pamplona;;UEFA Pro Licence;4-1-4-1;0
824;Gernot Rohr;1953-06-28;Mannheim;;;4-2-3-1;0
826;Matthias Schulz;1963-09-13;;;;;0
829;Udo Lattek;1935-01-16;Bosemb;;;?;333
832;Joachim Müller;1952-07-15;Zwickau;;;;0
834;Erminio Piserchia;1964-01-12;;;UEFA A Licence;;0
836;Martin Rueda;1963-01-09;Zürich;;UEFA Pro Licence;;0
839;Cor Pot;1951-06-08;Den Haag;;UEFA Pro Licence;;0
841;Thomas Binggeli;1964-07-02;;;;4-2-3-1;0
842;Walter Grüter;1954-01-09;;;;;0
